team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ath Paranaense,41,38.0,89,7,2,,,,,,,,,0
Atlético Mineiro,28,38.0,76,4,3,,,,,,,,,1
Avaí,36,38.0,120,3,1,,,,,,,,,2
Chapecoense,33,38.0,86,3,1,,,,,,,,,3
Corinthians,32,38.0,64,2,2,,,,,,,,,0
Coritiba,44,38.0,114,5,2,,,,,,,,,2
Cruzeiro,37,38.0,92,5,4,,,,,,,,,0
Figueirense,38,38.0,117,5,4,,,,,,,,,1
Flamengo,36,38.0,88,6,6,,,,,,,,,4
Fluminense,39,38.0,101,10,3,,,,,,,,,1
Goiás,35,38.0,95,3,3,,,,,,,,,0
Grêmio,34,38.0,96,2,1,,,,,,,,,1
Internacional,38,38.0,104,6,3,,,,,,,,,2
Joinville,46,38.0,102,8,4,,,,,,,,,1
Palmeiras,39,38.0,91,5,1,,,,,,,,,2
Ponte Preta,37,38.0,103,5,4,,,,,,,,,0
Santos,36,38.0,83,9,4,,,,,,,,,1
São Paulo,35,38.0,77,5,4,,,,,,,,,0
Sport Recife,28,38.0,73,2,0,,,,,,,,,4
Vasco da Gama,41,38.0,114,14,7,,,,,,,,,1
