team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Ath Paranaense,36,38.0,49,587,209,35.6,15.45,5.50,0.08,0.22,19.0,25,3,4,64.0,61.0,0.11,-15.0,-15.0
Atlético Mineiro,32,38.0,44,603,189,31.3,15.87,4.97,0.06,0.21,20.7,45,5,8,59.5,53.3,0.09,-15.5,-14.3
Avaí,42,38.0,17,458,106,23.1,12.05,2.79,0.03,0.12,22.0,29,4,5,34.8,30.9,0.07,-17.8,-17.9
Bahia,31,38.0,43,487,148,30.4,12.82,3.89,0.07,0.23,20.4,29,9,10,51.7,43.9,0.09,-8.7,-9.9
Botafogo (RJ),33,38.0,29,387,122,31.5,10.18,3.21,0.07,0.21,20.1,29,3,3,37.9,35.6,0.09,-8.9,-9.6
Ceará,33,38.0,35,493,160,32.5,12.97,4.21,0.06,0.20,19.8,35,3,6,48.7,43.9,0.09,-13.7,-11.9
Chapecoense,36,38.0,31,507,137,27.0,13.34,3.61,0.05,0.20,21.0,25,4,5,41.7,37.8,0.08,-10.7,-10.8
Corinthians,33,38.0,41,488,143,29.3,12.84,3.76,0.08,0.26,20.1,31,4,4,42.4,39.2,0.08,-1.4,-2.2
Cruzeiro,35,38.0,27,504,148,29.4,13.26,3.89,0.05,0.16,20.8,25,4,5,46.5,42.7,0.09,-19.5,-19.7
CSA,40,38.0,24,405,110,27.2,10.66,2.89,0.05,0.18,20.7,19,4,5,34.6,30.6,0.08,-10.6,-10.6
Flamengo,37,38.0,85,578,209,36.2,15.21,5.50,0.14,0.38,17.7,26,6,8,81.6,75.5,0.13,+3.4,+3.5
Fluminense,39,38.0,35,565,175,31.0,14.87,4.61,0.05,0.18,18.6,16,4,5,54.6,50.6,0.09,-19.6,-19.6
Fortaleza,32,38.0,48,413,139,33.7,10.87,3.66,0.10,0.29,20.6,23,8,9,50.0,43.0,0.11,-2.0,-3.0
Goiás,39,38.0,44,502,142,28.3,13.21,3.74,0.08,0.28,21.3,39,4,4,47.2,44.0,0.09,-3.2,-4.0
Grêmio,40,38.0,63,514,181,35.2,13.53,4.76,0.11,0.31,19.8,37,7,9,57.0,50.0,0.10,+6.0,+6.0
Internacional,38,38.0,43,545,175,32.1,14.34,4.61,0.08,0.24,19.4,33,1,3,53.0,50.8,0.10,-10.0,-8.8
Palmeiras,35,38.0,61,561,200,35.7,14.76,5.26,0.10,0.28,18.9,28,5,6,59.7,55.2,0.10,+1.3,+0.8
Santos,30,38.0,58,577,202,35.0,15.18,5.32,0.09,0.26,19.0,29,5,7,62.1,56.6,0.10,-4.1,-3.6
São Paulo,37,38.0,39,517,167,32.3,13.61,4.39,0.07,0.22,20.7,31,3,4,44.1,41.1,0.08,-5.1,-5.1
Vasco da Gama,39,38.0,37,501,147,29.3,13.18,3.87,0.06,0.20,19.2,33,8,12,56.7,47.6,0.10,-19.7,-18.6
