team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,3,38,38,"3,420",38.0,32,0.84,150,116,82.7,18,10,10,15,39.5,8,6,2,0,25.0
Atlético Mineiro,3,38,38,"3,420",38.0,49,1.29,174,125,75.9,13,9,16,7,18.4,9,7,1,1,12.5
Avaí,3,38,38,"3,420",38.0,62,1.63,197,136,72.1,3,11,24,9,23.7,7,7,0,0,0.0
Bahia,2,38,38,"3,420",38.0,43,1.13,159,115,75.5,12,13,13,14,36.8,5,4,1,0,20.0
Botafogo (RJ),2,38,38,"3,420",38.0,45,1.18,195,152,78.5,13,4,21,10,26.3,4,3,0,1,0.0
Ceará,3,38,38,"3,420",38.0,41,1.08,148,108,73.6,10,9,19,8,21.1,2,2,0,0,0.0
Chapecoense,2,38,38,"3,420",38.0,52,1.37,189,134,75.7,7,11,20,8,21.1,10,6,4,0,40.0
Corinthians,3,38,38,"3,420",38.0,34,0.89,145,110,80.0,14,14,10,17,44.7,7,5,2,0,28.6
Cruzeiro,2,38,38,"3,420",38.0,46,1.21,152,104,72.4,7,15,16,13,34.2,7,4,2,1,33.3
CSA,2,38,38,"3,419",38.0,58,1.53,217,160,74.2,8,8,22,10,26.3,5,2,2,1,50.0
Flamengo,3,38,38,"3,419",38.0,37,0.97,143,105,78.3,28,6,4,14,36.8,8,6,2,0,25.0
Fluminense,4,38,38,"3,416",38.0,46,1.21,177,131,76.3,12,10,16,11,28.9,4,4,0,0,0.0
Fortaleza,2,38,38,"3,420",38.0,49,1.29,170,121,74.1,15,8,15,8,21.1,7,5,1,1,16.7
Goiás,3,38,38,"3,420",38.0,64,1.68,208,143,70.7,15,7,16,10,26.3,6,3,2,1,40.0
Grêmio,3,38,38,"3,420",38.0,39,1.03,157,121,80.9,19,8,11,14,36.8,9,9,0,0,0.0
Internacional,2,38,38,"3,414",38.0,39,1.03,170,131,79.4,16,9,13,12,31.6,5,4,1,0,20.0
Palmeiras,3,38,38,"3,420",38.0,32,0.84,140,108,82.1,21,11,6,15,39.5,8,7,1,0,12.5
Santos,2,38,38,"3,420",38.0,33,0.87,135,102,77.0,22,8,8,17,44.7,3,2,1,0,33.3
São Paulo,2,38,38,"3,420",38.0,30,0.79,144,115,81.9,17,12,9,15,39.5,4,4,0,0,0.0
Vasco da Gama,3,38,38,"3,420",38.0,45,1.18,155,113,73.5,12,13,13,10,26.3,4,4,0,0,0.0
