team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Ath Paranaense,41,38.0,16005,19356,82.7,314035,105764,6102,6868,88.8,7421,8241,90.0,2253,3462,65.1,27,32.6,27.3,-5.6,327,1330,231,64,1606
Atl Goianiense,35,38.0,12096,15836,76.4,238289,90067,4644,5483,84.7,5431,6458,84.1,1777,3084,57.6,31,34.2,28.0,-3.2,341,1171,252,86,1424
Atlético Mineiro,34,38.0,19269,23076,83.5,347849,119409,8182,9047,90.4,8987,10128,88.7,1860,3115,59.7,42,45.5,40.8,-3.5,465,1930,365,90,2219
Bahia,39,38.0,13366,16850,79.3,239213,90335,5853,6672,87.7,5805,6793,85.5,1412,2533,55.7,35,38.7,30.0,-3.7,384,1215,236,74,1506
Botafogo (RJ),45,38.0,13651,17068,80.0,256779,95809,5558,6277,88.5,6159,7174,85.9,1688,2861,59.0,17,34.1,32.0,-17.1,376,1187,271,92,1427
Bragantino,35,38.0,13591,17340,78.4,253745,98546,5631,6463,87.1,6114,7192,85.0,1590,2894,54.9,35,36.6,37.2,-1.6,438,1344,279,77,1666
Ceará,34,38.0,11805,15342,76.9,219074,84145,5026,5824,86.3,4994,5972,83.6,1467,2709,54.2,37,36.4,28.3,+0.6,338,1140,221,59,1344
Corinthians,36,38.0,14399,18282,78.8,261218,100791,6470,7425,87.1,6116,7187,85.1,1577,2860,55.1,34,31.6,28.5,+2.4,356,1319,293,69,1639
Coritiba,47,38.0,13559,17018,79.7,256706,93172,5476,6199,88.3,6105,7060,86.5,1715,2921,58.7,21,27.2,22.5,-6.2,286,1051,214,69,1286
Flamengo,38,38.0,18680,22186,84.2,335228,112156,8135,9028,90.1,8417,9509,88.5,1853,2785,66.5,50,57.8,53.7,-7.8,437,1823,428,84,2171
Fluminense,37,38.0,13993,17498,80.0,251524,88497,6072,6888,88.2,6003,6973,86.1,1522,2669,57.0,34,28.1,28.1,+5.9,321,1116,226,53,1349
Fortaleza,31,38.0,13999,17297,80.9,276704,95054,5066,5794,87.4,6755,7687,87.9,1941,3126,62.1,24,30.8,27.2,-6.8,312,1261,183,49,1396
Goiás,49,38.0,11101,14746,75.3,210674,86817,4764,5572,85.5,4545,5552,81.9,1510,2845,53.1,21,25.1,25.0,-4.1,295,952,176,68,1099
Grêmio,37,38.0,16727,20153,83.0,281227,98232,8258,9118,90.6,6532,7504,87.0,1473,2495,59.0,35,39.6,38.1,-4.6,389,1460,299,94,1598
Internacional,39,38.0,13561,17420,77.8,256209,87179,5500,6326,86.9,6146,7164,85.8,1672,3145,53.2,40,35.4,31.9,+4.6,328,1174,241,94,1391
Palmeiras,36,38.0,15040,18595,80.9,286751,102277,5966,6717,88.8,6863,7840,87.5,1919,3230,59.4,33,37.1,30.7,-4.1,384,1327,258,66,1606
Santos,40,38.0,12965,16493,78.6,241644,87450,5129,5898,87.0,6048,7066,85.6,1520,2772,54.8,32,32.3,32.3,-0.3,299,969,217,90,1346
São Paulo,28,38.0,17906,21468,83.4,301619,103261,8908,9750,91.4,7093,8050,88.1,1530,2680,57.1,36,36.2,33.5,-0.2,397,1462,331,125,1692
Sport Recife,38,38.0,12552,16277,77.1,225278,84727,5563,6378,87.2,5311,6282,84.5,1332,2700,49.3,18,21.2,23.1,-3.2,265,1036,224,77,1347
Vasco da Gama,34,38.0,13390,16783,79.8,244914,85275,5642,6432,87.7,5914,6844,86.4,1498,2646,56.6,20,26.8,24.1,-6.8,279,1082,186,60,1294
