team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
América (MG),46,38.0,888,23.37,664,77,47,46,41,13,74,1.95,56,5,3,6,3,1
Ath Paranaense,40,38.0,967,25.45,672,102,61,55,55,22,94,2.47,77,4,1,5,6,1
Atlético Mineiro,31,38.0,834,21.95,607,51,54,45,65,12,88,2.32,67,2,5,4,9,1
Bahia,35,38.0,933,24.55,650,91,67,71,41,13,79,2.08,46,4,8,14,5,2
Botafogo (RJ),36,38.0,923,24.29,648,88,70,56,48,13,100,2.63,61,11,10,10,7,1
Bragantino,35,38.0,1098,28.89,802,82,66,81,53,14,80,2.11,51,4,7,13,4,1
Corinthians,36,38.0,796,20.95,570,82,50,44,37,13,76,2.00,52,5,4,8,6,1
Coritiba,47,38.0,732,19.26,505,71,47,39,58,12,68,1.79,43,7,5,6,7,0
Cruzeiro,38,38.0,935,24.61,674,93,60,49,50,9,60,1.58,45,3,7,2,2,1
Cuiabá,30,38.0,781,20.55,525,89,47,47,56,17,63,1.66,39,6,3,5,9,1
Flamengo,32,38.0,907,23.87,689,52,63,53,40,10,102,2.68,66,6,13,4,13,0
Fluminense,37,38.0,990,26.05,745,63,76,55,38,13,90,2.37,62,4,10,10,4,0
Fortaleza,32,38.0,947,24.92,683,75,52,59,55,23,73,1.92,52,2,6,5,5,3
Goiás,42,38.0,849,22.34,554,117,44,59,62,13,61,1.61,35,9,3,6,8,0
Grêmio,44,38.0,904,23.79,624,100,65,58,43,14,107,2.82,75,9,6,8,5,4
Internacional,35,38.0,816,21.47,610,53,37,58,43,15,80,2.11,61,3,2,7,4,3
Palmeiras,33,38.0,1079,28.39,754,114,70,60,61,20,106,2.79,65,10,8,13,9,1
Santos,46,38.0,821,21.61,519,118,52,59,57,16,63,1.66,37,7,2,9,8,0
São Paulo,38,38.0,921,24.24,660,71,72,58,45,15,64,1.68,39,4,6,10,4,1
Vasco da Gama,39,38.0,807,21.24,593,66,50,42,50,6,65,1.71,42,4,7,6,6,0
