team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
América (MG),46,38.0,15314,13456,1796,522,39,132,730,679,172,56,68,1,11505,62,313
Ath Paranaense,40,38.0,16900,14875,1958,552,53,182,685,784,216,73,109,1,13156,67,324
Atlético Mineiro,31,38.0,19250,17396,1793,501,55,131,655,699,188,104,55,0,15534,61,344
Bahia,35,38.0,17608,15579,1975,647,47,131,705,752,209,88,69,2,13879,54,340
Botafogo (RJ),36,38.0,17472,15572,1859,570,33,165,702,747,174,40,113,0,13906,41,284
Bragantino,35,38.0,18997,16830,2115,563,39,158,917,901,285,154,63,2,14605,52,402
Corinthians,36,38.0,18969,16975,1939,538,32,144,650,763,167,44,116,0,15463,55,309
Coritiba,47,38.0,15457,13438,1957,563,41,109,626,792,166,96,49,0,11817,62,291
Cruzeiro,38,38.0,18198,16080,2047,573,49,160,812,858,240,96,91,1,14360,71,398
Cuiabá,30,38.0,16082,14140,1865,615,26,124,828,696,188,63,81,6,12493,77,320
Flamengo,32,38.0,21648,19787,1810,579,46,173,640,683,207,90,60,3,18271,51,346
Fluminense,37,38.0,22732,20694,1963,614,28,135,707,729,210,83,55,4,19515,75,410
Fortaleza,32,38.0,16372,14417,1871,559,44,131,769,744,191,80,81,0,12719,84,324
Goiás,42,38.0,15803,13657,2060,619,44,132,701,805,201,84,99,8,12142,86,340
Grêmio,44,38.0,17273,15175,2039,592,54,75,577,770,202,51,77,0,13305,59,370
Internacional,35,38.0,19134,17245,1829,555,47,105,607,734,157,60,64,2,15590,60,344
Palmeiras,33,38.0,18219,16183,1936,619,38,181,917,722,242,104,79,1,14569,100,360
Santos,46,38.0,15384,13377,1940,594,31,111,726,768,186,64,82,0,11748,67,366
São Paulo,38,38.0,21650,19670,1903,572,44,248,664,767,214,91,87,1,18242,77,364
Vasco da Gama,39,38.0,16864,14839,1960,538,24,117,889,816,202,89,77,0,13320,65,326
